domain,scraped_at,id,name,image,status,urgency,special_case,class,since,gender,age,birthday,race,sice,weight,chip,situation,location,health,description
protectoraoriolana.org,2018-04-15 22:40:55.978905,2502,NALA,http://protectoraoriolana.org/imas/animales/_2502/a_25021522088249.jpg,en adopción,NO,NO,Perro,22-2-2018,Hembra,5 meses y 24 días,10/2017,Mestiza,Mediano,NA,NA,NA,Orihuela (Alicante),Vacunada y desparasitada,"Una cachorra tipica. Amable y juguetón. Estaba nerviosa cuanto acercaba Wild macho, no se si es por miedo o disgusto de otro perro o estrés."
laperritavaliente.org,2018-04-15 22:40:59.789885,448,Churrina,http://laperritavaliente.org/imas/animales/_448/a_4481317073973.jpg,En adopción,SI,NO,Perro,26-9-2011,Hembra,8 años y 10 meses,5/2009,NA,Pequeño,NA,NA,Acogido,(Valencia),Salud,"Churrina fue recogida de la calle, embarazada y asustada. Gracias a la familia que la acogió, ha podido criar a sus dos bebés, pero ya ha llegado la hora de ser ella la reina de la casa; es una perrita muy mimosa y dependiente, que cuando quiere, quiere más que nadie!!"
protectoraoriolana.org,2018-04-15 22:40:59.954423,2504,TEO,http://protectoraoriolana.org/imas/animales/_2504/a_25041523553939.jpg,en adopción,NO,NO,Perro,1-3-2018,Macho,11 meses y 14 días,5/2017,Mestizo,Mediano,NA,NA,NA,Orihuela (Alicante),Vacunado y desparasitado,"Perrito estupendo para una familia activa. Muy amable y paciente, pero tiene un alto nivel de energía por ser joven. Él es como un cachorro. Saltando y rebotando, quiere jugar. Se lleva bien con otros perros. Comparte su jaula con Lola. Un perrito divertido."
proteccionfelina.org,2018-04-15 22:41:01.575124,457,Homero,http://proteccionfelina.org/imas/animales/_457/a_4571350564828.jpg,en adopción,NO,NO,Gato,18-10-2012,Macho,10 años y 9 meses,7/2007,común,Mediano,NA,NA,NA,Madrid (Madrid),Salud,"Este gatito fue encontrado en el barrio de Aluche(Madrid), se acercó a la persona que ahora le tiene en acogida y se dejo tocar sin problema. Al llevarlo al veterinario se comprobó que no tenia chip y que daba positivo en la prueba de leucemia. Lamentablemente la persona que lo acoge tiene otros gatos por lo que Homero tiene que estar aislado en una habitación aparte."
protectorayecla.com,2018-04-15 22:41:01.861322,369,Lola,http://protectorayecla.com/imas/animales/_369/a_3691413152809.jpg,adoptado,SI,NO,Perro,1-10-2014,Hembra,4 años,4/2014,Mestiza,Pequeño,6 kilos,NA,NA,Yecla (Murcia),En buen estado de salud.,"Lola se encuentra a cargo de unas buenas personas que la recogieron cuando la encontraron perdida entre campos y caminos. Ellos no pueden hacerse cargo de Lola, y nos piden ayuda para encontrarle un verdadero hogar. Lola es una pequeñaja muy buena y simpática. Adopción para Lola!!"
laperritavaliente.org,2018-04-15 22:41:02.955713,123,Yoco,http://laperritavaliente.org/imas/animales/_123/a_1231271860889.jpg,Recuperado,NO,NO,Perro,21-4-2010,Macho,9 años y 1 mes,2/2009,X caniche/ grifón,Pequeño,NA,NA,NA,Valencia,Salud,El pequeño Yoco se perdió en Agosto de 2010.
asokaelgrande.org,2018-04-15 22:41:03.536365,8531,Pick,http://asokaelgrande.org/imas/animales/_8531/a_85311514668099.jpg,recuperado,NO,NO,perros,30-12-2017,Macho,4 años y 3 meses,12/2013,Mestizo,Pequeño,"4,6 KG",NA,NA,Alicante (Alicante),"Desparasitado, vacunado.",NA
protectoradecastalla.org,2018-04-15 22:41:04.251383,1290,Perla,http://protectoradecastalla.org/imas/animales/_1290/a_12901522772370.jpg,encontrado,NO,NO,Perro,24-3-2018,Hembra,1 año,3/2017,Mestiza,Mediano,NA,NA,NA,Castalla (Alicante),"Buena, desparasitado.","En sabado, 24 de marzo 2018, esta perrita apareció en una caseta por la carretera vieja de Tibi. Es una perra muy buena, obediente y juguetona."
proteccionfelina.org,2018-04-15 22:41:05.684134,979,Silvestre,http://proteccionfelina.org/imas/animales/_979/a_9791411976442.jpg,en adopción,NO,NO,Gato,29-9-2014,Macho,4 años y 7 meses,8/2013,Comun Europeo,Mediano,NA,NA,NA,Madrid (Madrid),Salud,"Silvestre es un gato muy activo, cariñoso, juguetón y sociable. Acostumbrado a vivir con niños y con otros gatos. Es positivo en leucemia aunque totalmente asintomático, por ello buscamos una familia para él que le cuide y le de la compañía y el amor que se merece! Está solito en un piso, y no está acostumbrado, fue criado a biberón, pero la que fue su familia no podía seguir teníendole por problemas de alergia. Si vienes a conocerle te va a encantar! Adóptale!"
laperritavaliente.org,2018-04-15 22:41:06.821985,972,Goku,http://laperritavaliente.org/imas/animales/_972/a_9721490642543.jpg,Perdido,NO,NO,Perro,25-2-2017,Macho,4 años y 3 meses,1/2014,Cruce de Teckel,Pequeño,NA,NA,NA,Valencia (Valencia),NA,PERDIDO EL 03/07/2017 EN PICASSENT.
