dominio,scraped_at,id,nombre,foto,estado,urgente,caso_especial,clase,desde,sexo,edad,nacimiento,raza,tamano,peso,chip,situacion,localidad,salud,descripcion
protectoradeibi.com,2018-04-15 21:24:19.068382,2208,Rosemary,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,en adopción,NO,NO,Gato,15-2-2018,Hembra,2 años,4/2016,Común,Mediano,NA,NA,Refugio,Ibi,Buena. Desparasitada interna y externamente. Esterilizada. Negativa en Leucemia y VIF. Vacunada.,"Rosemary estaba sola por la calle. Nadie sabe cómo llegó allí y a pesar que se publicó su foto y se difundió para que sus dueños pudieran recuperarla, nadie ha venido a buscarla. Es una gata hiper cariñosa."
protectoradeibi.com,2018-04-15 21:24:19.079871,2202,Marilyn,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,27-1-2018,Hembra,7 meses y 19 días,8/2017,Pitbull,Mediano,NA,NA,NA,Ibi (Alicante),"Buena. Desparasitada, vacunada y esterilizada.","Este bellezón busca hogar, tiene un carácter excelente, le encantan los niños."
protectoradeibi.com,2018-04-15 21:24:19.091099,2203,Nesquit,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,27-10-2017,Hembra,1 año y 9 meses,7/2016,Mix labrador-p.alemán,Grande,NA,NA,NA,Ibi (Alicante),"Aparentemente buena. Desparasitada, vacunada y esterilizada.",Nesquit es una perrita a la que dejaron aquí porque supuestamente ya no la podían atender.
protectoradeibi.com,2018-04-15 21:24:19.102495,2205,Lua,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,20-3-2017,Hembra,10 años,3/2008,podenco,Mediano,NA,NA,NA,Muro de Alcoy (Alicante),"Aparentemente buena. Desparasitada, vacunada y esterilizada.","Esta es Lua un amor de podenquita, muy sociable y cariñosa, tanto con animales como con personas."
protectoradeibi.com,2018-04-15 21:24:19.113964,2172,Luís,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,en adopción,NO,NO,Gato,20-7-2017,Macho,6 años y 8 meses,8/2011,Común,Grande,NA,NA,NA,Cocentaina,Buena. Desparasitado interna y externamente. Castrado. Negativo en Leucemia y VIF. Vacunado.,"Luís vagaba por las calles de Muro cuando una señora vio cómo lo atroprellaba un coche. Le dio un buen revolcón pero por suerte, no le hizo nada grave. Lo recogió y lo trajo a la protectora porque Luís es un gato claramente casero, que bien se perdió o lo echaron de casa. En todo este tiempo nadie lo ha reclamado así que está listo para adopción."
protectoradeibi.com,2018-04-15 21:24:19.133655,1726,Morita,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,perdido,NO,NO,Perro,17-2-2015,Hembra,4 años y 1 mes,2/2014,mini pincher,Pequeño,NA,NA,NA,Benicalap (Valencia),Buena.,"Nos pasan este aviso, desde Benicalap (Valencia)"
protectoradeibi.com,2018-04-15 21:24:19.145125,1740,Esperanza,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,encontrado,NO,NO,Perro,10-3-2015,Hembra,5 años y 1 mes,3/2013,NA,Grande,NA,NA,NA,Cocentaina (Alicante),Aparentemente buena.,A esta pequeña le hemos puesto esperanza.
protectoradeibi.com,2018-04-15 21:24:19.156751,1756,Amba,imas/animales/_1756/a_17561428392844.jpg,perdido,NO,NO,Perro,1-4-2015,Macho,3 años y 8 meses,8/2014,galgo,Grande,NA,NA,NA,Ibi (Alicante),NA,Nos pasan este aviso:
protectoradeibi.com,2018-04-15 21:24:19.167909,1766,Perdido en Onil,http://protectoradeibi.com/_mibambu/_pibi/imas/flecha_anterior.jpg,perdido,NO,NO,Perro,20-4-2015,Macho,2 años y 11 meses,4/2015,NA,Pequeño,NA,NA,NA,Onil (Alicante),NA,Este pequeño se ha perdido en Onil.
protectoradeibi.com,2018-04-15 21:24:19.179484,2037,Brulla,imas/animales/_2037/a_20371460539448.jpg,perdido,NO,NO,Perro,5-4-2016,Hembra,3 años,4/2015,NA,Mediano,NA,NA,NA,Caudete (Albacete),NA,"Se llama Brulla se perdió en Caudete, por la zona de ""la carretera de Montealegre""."
